,BHEL,HINDALCO,PNB,SBIN,VEDL,TATASTEEL,MRPL,ONGC,GLOBUSSPR
BHEL,1.0,0.8006322882032256,0.583368479597178,0.5482438172356564,0.861137034261119,0.8649378135476734,0.7755517542666058,0.7334789489940738,0.6427673514339467
HINDALCO,0.8006322882032256,1.0,0.5811580759241523,0.5768435873837932,0.7332034516986315,0.9322204988359217,0.7637224488545886,0.7091796933079945,0.5579877582858485
PNB,0.583368479597178,0.5811580759241523,1.0,0.9105184699172418,0.768134991420956,0.4935000631292569,0.57295909929786,0.9455953564408424,-0.15665389158954074
SBIN,0.5482438172356564,0.5768435873837932,0.9105184699172418,1.0,0.684532407044636,0.5117437035460821,0.5897242057219336,0.9136510322074382,-0.5492156979354365
VEDL,0.861137034261119,0.7332034516986315,0.768134991420956,0.684532407044636,1.0,0.7596906812293585,0.7083799437455564,0.8444446403672979,0.5745128849842995
TATASTEEL,0.8649378135476734,0.9322204988359217,0.4935000631292569,0.5117437035460821,0.7596906812293585,1.0,0.8357252724949124,0.6813272123011093,0.6228988457158786
MRPL,0.7755517542666058,0.7637224488545886,0.57295909929786,0.5897242057219336,0.7083799437455564,0.8357252724949124,1.0,0.6674196727596319,0.2914272954522563
ONGC,0.7334789489940738,0.7091796933079945,0.9455953564408424,0.9136510322074382,0.8444446403672979,0.6813272123011093,0.6674196727596319,1.0,-0.2909226162982237
GLOBUSSPR,0.6427673514339467,0.5579877582858485,-0.15665389158954074,-0.5492156979354365,0.5745128849842995,0.6228988457158786,0.2914272954522563,-0.2909226162982237,1.0
